Employee_ID,Department,Gender,Age,Job_Title,Hire_Date,Years_At_Company,Education_Level,Performance_Score,Monthly_Salary,Work_Hours_Per_Week,Projects_Handled,Overtime_Hours,Sick_Days,Remote_Work_Frequency,Team_Size,Training_Hours,Promotions,Employee_Satisfaction_Score,Resigned
1044143560179,Finance,Male,49,Analyst,05/13/2007 05:47:19.000000000,9,PhD,3,4331.48,31,44,1,10,98,5,85,2,1.61,true
4979983853472,Operations,Female,53,Engineer,06/09/2017 01:13:14.000000000,10,Bachelor,1,5040.33,29,39,10,5,83,11,58,0,1.2,false
8874007867045,Legal,Female,58,Developer,05/14/2000 11:56:34.000000000,7,High School,2,1351.51,39,40,6,15,92,19,11,1,4.26,false
6528167841418,Engineering,Female,55,Engineer,06/07/2015 15:56:54.000000000,3,PhD,5,3325.87,25,49,8,0,38,3,56,2,4.51,false
8006378890556,IT,Male,60,Analyst,07/07/2021 19:13:32.000000000,2,Bachelor,1,2528.93,60,43,10,0,12,20,63,2,0.87,true
8080937060591,Marketing,Male,38,Consultant,02/19/2002 04:25:43.000000000,8,Bachelor,4,7557.5,56,38,0,24,20,13,39,2,3.18,true
8253958171942,HR,Genderqueer,30,Manager,11/19/2016 12:46:45.000000000,5,Bachelor,5,4457.49,29,32,11,3,20,17,52,1,4.79,false
6557960531866,Sales,Agender,55,Engineer,02/05/2014 12:33:21.000000000,6,PhD,3,9.38,48,15,13,14,87,19,6,1,0.12,true
9154159287055,HR,Female,20,Developer,10/29/2021 12:22:13.000000000,2,High School,2,8824.8,25,11,13,11,14,4,24,0,2.33,true
1005901466593,Operations,Female,58,Engineer,11/12/2004 00:45:40.000000000,7,PhD,5,1532.08,32,35,18,15,35,18,2,0,4.45,false
7415775391834,Sales,Male,39,Specialist,08/31/2022 11:34:34.000000000,4,Bachelor,5,1348.83,36,7,4,27,52,1,84,2,1.95,true
7971760257354,HR,Male,50,Technician,03/07/2009 21:00:02.000000000,8,Bachelor,5,3749.47,55,16,5,1,37,6,15,0,4.8,true
5199889570861,Finance,Non-binary,30,Engineer,11/20/2006 15:13:35.000000000,7,Master,1,7754.09,36,1,16,3,62,11,6,1,0.46,false
3316115802272,IT,Female,51,Analyst,12/28/2007 19:37:05.000000000,6,Master,1,6771.72,60,2,13,21,2,11,7,2,2.36,false
6854320966575,Sales,Female,55,Developer,04/28/2009 02:05:59.000000000,4,PhD,1,7699.86,37,19,8,19,5,12,21,2,1.32,false
5614109759195,HR,Male,52,Developer,11/12/2009 01:45:44.000000000,2,High School,3,8894.33,49,0,1,16,36,18,97,1,3.49,true
2205956685749,HR,Female,21,Engineer,09/07/2018 17:03:27.000000000,9,PhD,1,6873.64,64,41,7,13,64,8,85,2,3.05,false
169644140912,Engineering,Agender,31,Engineer,01/18/2012 01:14:18.000000000,10,High School,4,8726.49,27,11,5,4,3,4,69,2,4.72,true
2280995417872,Sales,Male,42,Technician,11/07/2019 04:26:33.000000000,8,Master,4,5685.43,45,48,6,19,2,10,99,2,3.62,false
506711733129,Customer Support,Male,58,Developer,12/04/2014 08:44:56.000000000,5,High School,4,2610.44,50,16,17,24,9,20,90,2,1.67,true
6955004044024,HR,Non-binary,23,Technician,06/27/2006 20:40:32.000000000,9,PhD,5,5977.64,23,28,18,13,72,19,28,0,1.58,false
9606618659712,Marketing,Male,48,Manager,07/28/2003 18:54:15.000000000,5,PhD,1,5529.95,39,44,9,0,44,1,70,2,3.39,true
2758759841619,Engineering,Male,28,Specialist,09/24/2004 02:38:48.000000000,2,High School,1,6547.7,56,11,4,9,88,13,21,0,0.94,false
8192383422664,Marketing,Male,24,Manager,09/06/2021 09:17:12.000000000,5,Bachelor,5,3184.61,40,29,10,14,57,13,90,2,3.99,false
7403925496111,Engineering,Female,39,Engineer,07/24/2012 16:14:09.000000000,5,Bachelor,5,8815.2,33,50,18,1,98,5,96,2,2.35,false
8923918369658,Legal,Male,57,Engineer,06/16/2000 12:41:40.000000000,9,PhD,4,8050.98,20,16,11,15,66,3,67,1,3.72,false
2879027279400,Finance,Female,46,Developer,08/21/2009 04:50:42.000000000,10,Bachelor,4,5491.4,49,18,11,11,57,2,4,1,4.47,true
1995185851174,Engineering,Male,55,Analyst,09/27/2022 22:28:28.000000000,5,PhD,2,5838.36,48,22,7,5,94,8,29,2,0.14,true
3626843603193,Sales,Male,42,Manager,12/10/2016 01:04:29.000000000,5,Bachelor,2,1542.34,29,30,17,28,4,18,51,0,2.79,true
8528965876521,Customer Support,Female,53,Engineer,06/02/2004 22:43:20.000000000,7,Master,1,8822.37,42,41,18,18,1,18,25,2,0.78,true
2926768014926,Operations,Female,27,Technician,06/12/2001 21:31:19.000000000,6,High School,1,1343.06,46,44,2,2,42,12,19,2,3.77,false
7552158871883,IT,Female,29,Specialist,01/02/2013 05:42:26.000000000,3,High School,3,5314.64,42,28,19,3,72,15,8,1,0.08,false
242229104188,Operations,Male,52,Developer,10/17/2003 21:45:40.000000000,3,Master,4,1741.59,26,50,14,21,35,4,7,0,4.17,true
6796173431920,Operations,Male,51,Consultant,10/08/2007 06:41:06.000000000,9,High School,1,5752.62,59,48,15,22,90,4,70,0,4.71,true
8726616436619,HR,Genderqueer,41,Technician,11/05/2000 14:13:17.000000000,6,Master,2,1885.03,29,47,1,5,79,18,18,2,3.67,false
7012373745584,Legal,Male,37,Specialist,11/05/2001 21:53:50.000000000,6,PhD,1,7287.58,48,33,8,19,12,20,11,2,2.92,true
2144639432671,Customer Support,Male,32,Manager,06/02/2008 23:26:58.000000000,8,PhD,3,3717.01,55,2,2,10,88,9,11,2,0.98,false
6641779985426,Legal,Female,32,Analyst,11/01/2015 04:25:00.000000000,2,Bachelor,5,6934.4,50,49,20,21,70,4,77,0,2.45,false
9108038167189,Operations,Female,54,Developer,03/23/2008 03:53:10.000000000,4,PhD,5,2494.33,28,0,18,9,22,4,78,1,2.01,false
8292626059423,Legal,Female,41,Developer,12/30/2000 16:06:08.000000000,6,Master,2,407.4,56,41,18,13,46,2,6,1,0.0,true
4945919434117,Operations,Male,20,Engineer,03/06/2018 09:11:35.000000000,9,PhD,2,8950.52,22,49,15,0,38,13,53,0,3.12,false
5119694448572,IT,Male,35,Specialist,07/13/2004 04:51:41.000000000,4,Master,2,2514.84,64,14,17,19,65,14,74,0,0.42,true
4066077797494,HR,Male,42,Manager,02/09/2022 21:03:00.000000000,5,Master,2,4504.62,20,27,18,24,74,16,58,2,0.7,false
2173243393290,Customer Support,Male,59,Engineer,09/22/2013 02:26:20.000000000,3,PhD,1,5973.34,65,39,2,17,4,7,98,2,0.79,false
4816996747951,Customer Support,Male,35,Consultant,01/23/2012 22:49:39.000000000,7,Bachelor,4,3905.34,52,0,19,10,15,17,65,1,3.5,false
3066755972563,Customer Support,Female,38,Manager,07/17/2006 06:03:13.000000000,2,High School,1,5795.7,61,0,14,30,76,8,32,0,3.65,true
6191799148170,Legal,Male,30,Technician,08/27/2017 00:25:19.000000000,8,Master,4,1413.09,63,24,20,10,100,9,26,0,3.94,true
3465083584017,Legal,Female,25,Specialist,03/12/2000 19:41:49.000000000,8,High School,1,6720.29,57,46,5,4,17,14,39,1,0.59,false
3062773437764,IT,Male,33,Specialist,08/31/2002 18:12:48.000000000,10,High School,2,5349.49,61,2,15,10,65,18,90,2,2.95,true
9332388542319,Operations,Male,59,Analyst,11/20/2020 18:12:09.000000000,3,Bachelor,1,2411.04,27,18,19,22,98,3,44,2,0.46,true
302442980753,Customer Support,Female,46,Analyst,11/18/2008 10:42:19.000000000,8,Bachelor,1,8529.14,57,3,3,30,53,10,43,0,3.66,true
8636731548818,Customer Support,Male,33,Specialist,01/21/2006 02:47:56.000000000,9,PhD,1,1658.89,58,2,11,28,16,7,88,0,2.29,false
829007747413,Legal,Female,23,Technician,11/17/2013 17:25:32.000000000,5,PhD,4,4282.81,34,47,20,4,57,5,13,2,4.86,false
2390446033773,Legal,Bigender,52,Technician,06/25/2006 09:22:44.000000000,3,Master,5,4084.27,64,45,17,23,28,1,43,1,2.86,true
8568737225371,Marketing,Male,23,Technician,08/03/2010 18:31:49.000000000,6,High School,3,7504.88,20,19,15,19,52,5,91,2,2.32,false
1433609979852,HR,Male,57,Specialist,01/22/2009 17:14:17.000000000,3,High School,3,5131.9,64,4,6,3,73,2,11,2,2.23,true
6716136557821,Operations,Female,21,Analyst,11/23/2003 08:32:01.000000000,5,Bachelor,2,6344.97,42,42,4,16,25,7,70,1,4.41,false
5474466061944,IT,Male,58,Technician,03/04/2015 19:55:26.000000000,3,Master,3,8405.53,30,6,13,4,55,1,53,1,0.94,true
1320794483285,Operations,Male,37,Analyst,12/07/2017 01:48:37.000000000,2,High School,3,6641.75,46,36,3,3,80,7,21,0,2.7,false
5024054430440,Marketing,Genderfluid,48,Consultant,01/07/2013 17:37:00.000000000,4,Bachelor,3,3371.33,39,20,13,28,28,15,52,0,2.53,false
5760411380901,Legal,Male,52,Consultant,01/31/2011 01:54:10.000000000,6,High School,1,3310.27,54,36,13,21,0,20,88,0,1.64,false
543109812630,Customer Support,Male,33,Technician,04/17/2007 14:38:21.000000000,2,PhD,1,7730.14,62,16,4,8,0,13,4,2,2.87,false
5197996450902,HR,Male,43,Engineer,04/01/2009 20:25:39.000000000,6,High School,4,6221.41,20,38,12,16,37,14,54,0,4.51,true
4918862300910,Marketing,Female,35,Specialist,02/10/2002 08:09:01.000000000,6,Bachelor,2,6962.1,57,0,20,16,64,6,48,2,0.41,false
1010804774353,Operations,Male,42,Analyst,05/01/2006 03:33:05.000000000,9,Master,4,2002.02,63,10,9,7,21,15,82,0,2.32,true
1522473782832,Sales,Female,35,Consultant,07/05/2012 09:39:20.000000000,8,Bachelor,5,1401.99,54,7,0,17,24,15,34,1,2.41,false
2463917733741,Engineering,Male,27,Developer,05/27/2001 21:20:21.000000000,6,Bachelor,1,5943.36,53,40,13,7,86,20,17,2,3.31,true
1267995511850,Operations,Male,18,Developer,03/18/2007 22:01:22.000000000,2,High School,1,8867.53,44,45,1,7,6,18,45,1,1.85,true
2093252196696,Marketing,Female,42,Developer,03/15/2013 23:18:20.000000000,2,High School,4,6755.95,51,1,20,4,33,15,88,2,0.89,true
2721273325219,Operations,Female,23,Manager,02/20/2000 10:10:09.000000000,10,Bachelor,1,5383.61,24,0,2,21,78,9,98,1,2.49,false
1349090115066,Marketing,Female,33,Manager,01/13/2014 22:55:53.000000000,7,PhD,2,4136.12,31,14,17,20,97,6,7,1,3.19,false
9786155156738,IT,Female,59,Engineer,01/09/2022 14:26:00.000000000,3,Bachelor,5,100.43,43,2,1,19,90,2,45,2,2.0,true
5411098242978,Operations,Male,25,Manager,04/08/2020 17:13:33.000000000,2,PhD,2,8670.65,46,37,8,13,79,12,44,0,1.15,true
1979457524327,Marketing,Male,52,Analyst,11/23/2009 01:32:03.000000000,10,Master,4,2278.44,36,22,19,10,8,2,5,2,0.71,true
7312898221784,IT,Male,43,Analyst,07/29/2007 07:13:19.000000000,5,High School,4,115.54,63,36,16,14,80,9,62,1,1.57,true
9228536094247,Sales,Female,45,Developer,06/30/2022 21:26:50.000000000,10,PhD,4,258.27,58,34,8,2,83,17,79,2,4.79,true
66891091,Marketing,Male,56,Manager,04/17/2014 05:23:09.000000000,6,PhD,4,1273.69,56,24,8,12,32,10,75,2,2.38,false
1397547456641,HR,Non-binary,37,Technician,03/14/2011 19:40:52.000000000,9,PhD,5,5460.16,63,43,12,15,23,12,52,2,1.62,true
4218427514726,HR,Male,44,Engineer,06/11/2003 18:52:27.000000000,3,Bachelor,3,5037.56,29,9,18,16,77,11,32,0,3.16,true
2530417502734,Legal,Female,25,Analyst,01/22/2012 17:45:55.000000000,5,Bachelor,2,1675.7,61,48,5,30,53,4,1,0,3.9,false
762921083348,Operations,Male,27,Specialist,04/24/2022 05:40:00.000000000,8,PhD,4,5255.61,24,22,12,13,50,15,25,1,3.14,true
4525135376738,Engineering,Female,41,Technician,02/21/2001 22:14:05.000000000,10,Master,4,5790.8,56,38,14,14,8,20,76,0,1.7,true
